Model,Price,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69
DW2300-1,399,5,4,3,1,3,3,2,2,2,4
DW2300-2,399,9,1,2,1,2,0,2,2,1,2
DW2300-3,349,7,1,3,0,1,1,2,1,1,1
DW2300-4,349,8,1,0,0,3,1,2,2,0,1
DW2400-1,599,7,2,5,2,4,2,3,3,3,3
DW2400-2,599,8,3,0,2,1,1,2,1,3,2
DW2400-3,569,11,1,2,2,1,2,0,2,1,1
SW2400-1,789,9,1,0,3,5,3,5,0,4,5
SW2400-2,769,9,0,1,1,1,1,0,0,3,3
SW2400-3,769,12,0,2,0,1,1,1,1,5,2
SW2400-4,729,7,1,3,0,1,1,1,1,0,0
SW2500-1,845,8,3,4,2,2,3,2,10,1,1
SW2500-2,845,13,3,2,2,0,2,2,1,4,3
SW2500-3,845,11,3,0,2,1,1,2,1,2,2
SW2500-4,825,10,3,0,2,1,1,2,1,0,1
